#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
gfz2021ugmw|2021-10-16T04:01:46.29|51.496000|16.068000|1.0|||GFZ|gfz2021ugmw|mb|4.25||Poland|
gfz2021rxxu|2021-09-13T00:15:26.27|51.533000|16.056000|10.0|||GFZ|gfz2021rxxu|M|3.03||Poland|
gfz2021qrmx|2021-08-26T06:24:19.36|51.553000|16.152000|10.0|||GFZ|gfz2021qrmx|M|3.6||Poland|
gfz2021nxdr|2021-07-17T15:57:28.14|51.515000|15.910000|10.0|||GFZ|gfz2021nxdr|mb|3.69||Poland|
gfz2021mgfd|2021-06-24T03:58:48.16|51.585000|16.166000|10.0|||GFZ|gfz2021mgfd|mb|3.93||Poland|
gfz2021lshz|2021-06-16T13:22:10.1|51.622000|16.133000|10.0|||GFZ|gfz2021lshz|mb|4.14||Poland|
gfz2021llyz|2021-06-13T02:00:19.85|51.348000|15.865000|10.0|||GFZ|gfz2021llyz|M|3.44||Poland|
gfz2021kgfy|2021-05-26T17:11:47.43|51.605000|15.967000|1.0|||GFZ|gfz2021kgfy|MLv|3.6||Poland|
gfz2021jgma|2021-05-12T14:42:23.08|51.529000|16.097000|10.0|||GFZ|gfz2021jgma|MLv|3.91||Poland|
gfz2021ihon|2021-04-28T23:34:43.51|51.661000|16.031000|10.0|||GFZ|gfz2021ihon|mb|4.16||Poland|
gfz2021hrat|2021-04-19T22:26:26.54|51.494000|15.907000|10.0|||GFZ|gfz2021hrat|M|3.1||Poland|
gfz2021glva|2021-04-02T20:19:21.31|51.425000|16.190000|10.0|||GFZ|gfz2021glva|M|3.14||Poland|
gfz2021fhge|2021-03-17T02:44:46.35|51.360000|15.937000|10.0|||GFZ|gfz2021fhge|M|3.36||Poland|
gfz2021ewpn|2021-03-11T06:59:03.41|51.571000|16.085000|1.0|||GFZ|gfz2021ewpn|mb|4.08||Poland|
gfz2021eofh|2021-03-06T16:43:24.08|51.309000|16.024000|10.0|||GFZ|gfz2021eofh|M|3.12||Poland|
gfz2021dwxg|2021-02-25T05:21:01.8|51.561000|16.147000|10.0|||GFZ|gfz2021dwxg|mb|4.2||Poland|
gfz2021cjqp|2021-02-03T17:40:21.29|51.649000|16.116000|10.0|||GFZ|gfz2021cjqp|M|3.49||Poland|
gfz2021bkyi|2021-01-21T05:10:40.76|51.526000|16.250000|10.0|||GFZ|gfz2021bkyi|mb|3.88||Poland|
gfz2021bkgv|2021-01-20T20:20:36.28|51.630000|16.201000|1.0|||GFZ|gfz2021bkgv|ML|3.21||Poland|
gfz2021ajnm|2021-01-06T05:02:26.57|51.594000|16.141000|10.0|||GFZ|gfz2021ajnm|mb|4.02||Poland|
gfz2020yzxp|2020-12-21T17:11:18.48|51.503000|15.965000|10.0|||GFZ|gfz2020yzxp|mb|4.03||Poland|
gfz2020ywxh|2020-12-20T01:36:35.27|51.636000|15.944000|10.0|||GFZ|gfz2020ywxh|mb|3.78||Poland|
gfz2020wswf|2020-11-19T09:27:11.05|51.552000|16.189000|1.0|||GFZ|gfz2020wswf|ML|3.97||Poland|
gfz2020uvcl|2020-10-23T03:48:34.74|51.544000|15.962000|10.0|||GFZ|gfz2020uvcl|M|3.36||Poland|
gfz2020upva|2020-10-20T06:22:48.66|51.549000|15.916000|1.0|||GFZ|gfz2020upva|ML|3.54||Poland|
gfz2020tyby|2020-10-10T13:26:00.45|51.639000|16.167000|1.0|||GFZ|gfz2020tyby|ML|3.53||Poland|
gfz2020twld|2020-10-09T15:47:23.47|51.519000|16.125000|1.0|||GFZ|gfz2020twld|ML|3.3||Poland|
gfz2020skan|2020-09-18T15:16:34.82|51.574000|16.050000|10.0|||GFZ|gfz2020skan|M|3.53||Poland|
gfz2020rzcq|2020-09-12T15:50:24.22|51.708000|16.172000|10.0|||GFZ|gfz2020rzcq|mb|4.1||Poland|
gfz2020qxsa|2020-08-28T15:47:55.03|51.523000|16.170000|1.0|||GFZ|gfz2020qxsa|ML|2.84||Poland|
gfz2020qadq|2020-08-15T18:24:12.5|51.428000|16.189000|1.0|||GFZ|gfz2020qadq|ML|3.02||Poland|
gfz2020pyzp|2020-08-15T03:14:18.39|51.682000|16.012000|1.0|||GFZ|gfz2020pyzp|ML|3.12||Poland|
gfz2020pwid|2020-08-13T16:08:34.06|51.581000|16.061000|10.0|||GFZ|gfz2020pwid|M|3.4||Poland|
gfz2020owsb|2020-07-30T15:36:34.51|51.514000|16.150000|10.0|||GFZ|gfz2020owsb|mb|4.31||Poland|
gfz2020ohaq|2020-07-22T01:46:36.38|51.513000|16.084000|10.0|||GFZ|gfz2020ohaq|mb|4.01||Poland|
gfz2020oepi|2020-07-20T17:54:14.91|51.492000|16.162000|1.0|||GFZ|gfz2020oepi|ML|2.42||Poland|
gfz2020nzwr|2020-07-18T03:49:03.36|51.526000|15.932000|10.0|||GFZ|gfz2020nzwr|M|3.26||Poland|
gfz2020nyci|2020-07-17T04:24:41.56|51.577000|16.149000|10.0|||GFZ|gfz2020nyci|mb|4.03||Poland|
gfz2020nhsp|2020-07-08T05:19:00.2|51.527000|16.027000|3.0|||GFZ|gfz2020nhsp|mb|4.81||Poland|
gfz2020ljkv|2020-06-10T16:34:48.0000|51.618000|16.080000|10.0|||GFZ|gfz2020ljkv|mb|3.89||Poland|
gfz2020kyag|2020-06-04T10:50:11.57|51.635000|16.025000|10.0|||GFZ|gfz2020kyag|MLv|3.44||Poland|
gfz2020kmeo|2020-05-28T23:17:47.78|51.476000|15.971000|10.0|||GFZ|gfz2020kmeo|mb|3.9||Poland|
gfz2020jzrv|2020-05-22T03:15:23.99|51.459000|16.168000|1.0|||GFZ|gfz2020jzrv|ML|2.86||Poland|
gfz2020jadx|2020-05-08T03:48:17.37|51.455000|15.891000|10.0|||GFZ|gfz2020jadx|M|3.21||Poland|
gfz2020ibms|2020-04-24T15:51:02.3|51.322000|15.887000|1.0|||GFZ|gfz2020ibms|ML|2.93||Poland|
